1749062561345332765,551,1016980000000,553,569380000000,828443085
1749062561349353345,551,671980000000,553,569380000000,828443086
1749062583440377541,551,1016980000000,553,569380000000,828443091
1749062583540347060,551,671980000000,553,569380000000,828443092
1749062608951556073,551,586960000000,553,569380000000,828443098
1749062651545533044,551,931960000000,553,569380000000,828443107
1749062695622428098,551,586960000000,553,569380000000,828443118
1749062697416582932,551,931960000000,553,569380000000,828443119
1749062709395492872,551,586960000000,553,569380000000,828443120
1749062710260414036,551,672020000000,553,569380000000,828443121
1749062715508423124,551,1017020000000,553,569380000000,828443122
1749062715546359094,551,1051130000000,553,569380000000,828443123
1749062726967547674,551,706130000000,553,569380000000,828443126
1749062735605440289,551,1051130000000,553,569380000000,828443128
1749062737931515181,551,706130000000,553,569380000000,828443129
1749062752440336694,551,1051130000000,553,569380000000,828443131
1749062789445325684,551,1017020000000,553,569380000000,828443139
1749062810744484820,551,1051130000000,553,569380000000,828443144
1749062954745349152,551,1017020000000,553,569380000000,828443173
1749062965245376369,551,1051130000000,553,569380000000,828443176
1749062976146343338,551,1017020000000,553,569380000000,828443179
1749063015755479738,551,931960000000,553,569380000000,828443186
1749063015941348656,551,586960000000,553,569380000000,828443189
1749063069429918349,551,586960000000,552,29360000000,828443204
1749063302565658252,551,557600000000,552,29360000000,828443250
1749063302566417921,551,540380000000,552,29360000000,828443251
1749063302567573945,550,982140000000,552,29360000000,828443252
1749063302568335485,550,982140000000,552,111100000000,828443254
1749063302568335485,550,982140000000,552,595730000000,828443256
1749063302742367957,550,637140000000,552,595730000000,828443258
1749063364045580879,550,722450000000,552,595730000000,828443269
1749063415043309392,550,1068050000000,552,595730000000,828443280
1749063415140327127,550,722450000000,552,595730000000,828443281
1749063422481273489,550,722450000000,552,600970000000,828443283
1749063628709769204,550,637140000000,552,600970000000,828443325
1749063685819417956,550,637140000000,551,29360000000,828443336
1749063864264295299,550,637140000000,551,63210000000,828443371
1749063904945309201,550,637140000000,552,776880000000,828443379
1749063905000447959,550,722430000000,552,776880000000,828443380
1749063905962444061,550,722430000000,552,803210000000,828443383
1749063920991308111,550,722430000000,552,622060000000,828443385
1749063924732280507,550,1068630000000,552,622060000000,828443388
1749063969845311701,550,1102740000000,552,622060000000,828443397
1749064020942395996,550,756540000000,552,622060000000,828443410
1749064020947467502,550,722430000000,552,622060000000,828443411
